StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2_1,Q158_1,Q159_1,Q184_1,Q12_1,Q4_1,Q8_1,Q214_1,Q215_1,Q216_1,Q217_1,Q218_1,Q219_1,Q220_1,Q233_1,Q234_1,Q235_1,Q236_1,Q237_1,Q238_1,Q239_1,Q242_1,Q243_1,Q244_1,Q245_1,Q246_1,Q247_1,Q248_1,Q251_1,Q252_1,Q253_1,Q254_1,Q255_1,Q256_1,Q257_1,Q260_1,Q261_1,Q262_1,Q263_1,Q264_1,Q265_1,Q266_1,Q269_1,Q270_1,Q271_1,Q272_1,Q273_1,Q274_1,Q275_1,Q278_1,Q279_1,Q280_1,Q281_1,Q282_1,Q283_1,Q284_1,Q287_1,Q288_1,Q289_1,Q290_1,Q291_1,Q292_1,Q293_1,Q296_1,Q297_1,Q298_1,Q299_1,Q300_1,Q301_1,Q302_1,Q305_1,Q306_1,Q307_1,Q308_1,Q309_1,Q310_1,Q311_1,Q314_1,Q315_1,Q316_1,Q317_1,Q318_1,Q319_1,Q320_1,Q202_1,Q203_1,Q204_1,Q205_1,Q206_1,Q207,Q208,Q209,Q209,Q210,Q210 - Topics
6/13/18 16:20,6/13/18 16:25,IP Address,98.202.152.139,100,271,TRUE,6/13/18 16:25,R_1CdavWvyweE5GeD,,,,,40.49819946,-111.8435974,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,2,4,4,2,3,4,3,4,3,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,3,2,3,,Yes,Yes,Absolutely,,
6/13/18 16:21,6/13/18 16:26,IP Address,137.69.117.205,100,301,TRUE,6/13/18 16:26,R_2ciQzbE1g0XlU2h,,,,,37.33880615,-121.8914032,anonymous,EN,,,,,,,,3,2,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,2,2,4,3,2,2,3,2,4,,Yes,No,Absolutely,,
6/13/18 16:19,6/13/18 16:26,IP Address,69.5.127.154,100,409,TRUE,6/13/18 16:26,R_3KOB1RSTI2jURH7,,,,,44.49290466,-73.22530365,anonymous,EN,,,,,,,,,,,,,,,3,2,4,2,3,4,1,,,,,,,,2,2,3,4,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,1,3,5,,No,Yes,Not sure,,
6/13/18 16:19,6/13/18 16:30,IP Address,128.187.112.10,100,668,TRUE,6/13/18 16:30,R_1IbfZ7jfCZHHVi5,,,,,40.35629272,-111.7324982,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,4,4,2,4,,,,,,,,2,1,2,1,3,2,2,3,2,3,4,4,"I hadn't heard the melodies exactly that way before, but they fit in with the genre and were pleasing to the ear.",Yes,No,Absolutely,,
6/13/18 16:22,6/13/18 16:33,IP Address,172.58.40.75,100,696,TRUE,6/13/18 16:33,R_2VwrssmQ0l1zQl9,,,,,47.30780029,-122.3177032,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,3,2,3,3,3,,,,,,,,3,2,3,2,3,2,3,,,,,,,,3,2,3,2,2,,Yes,Yes,Not sure,The lyrics didn't always make since and there was not endings to the song,Unknown
6/13/18 16:33,6/13/18 16:37,IP Address,128.187.116.10,100,240,TRUE,6/13/18 16:37,R_3fAAukxRpBBU04j,,,,,40.35629272,-111.7324982,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,4,4,2,2,2,3,3,4,2,5,2,3,,,,,,,,4,4,4,4,4,,Yes,No,Absolutely,,
6/13/18 16:36,6/13/18 16:40,IP Address,50.207.240.162,100,252,TRUE,6/13/18 16:40,R_3O6LLF7IDmh6CXX,,,,,40.39300537,-111.7837982,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,3,3,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,2,2,4,3,2,4,4,2,3,,Yes,No,Not sure,,
6/13/18 16:34,6/13/18 16:41,IP Address,157.201.91.112,100,421,TRUE,6/13/18 16:41,R_tDHUVBPDnwcw6WZ,,,,,43.77609253,-111.6910019,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,4,2,4,3,3,3,4,,,,,,,,,,,,,,,3,1,3,2,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,3,3,"There are certainly elements of novelty in the process, but I'm not convinced that it is truly very _creative_",Yes,Yes,Not sure,"The two songs that I was presented sounded very similar. I am not sure how diverse the other songs it creates are, but it would be nice to see some more diversity.",Unknown
6/13/18 16:30,6/13/18 16:41,IP Address,75.169.43.166,100,663,TRUE,6/13/18 16:41,R_4N6l9UoBcP39Z9T,,,,,40.60920715,-111.881897,anonymous,EN,3,2,3,3,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,3,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,1,2,3,,No,Yes,Not sure,,
6/13/18 16:37,6/13/18 16:42,IP Address,67.182.196.2,100,279,TRUE,6/13/18 16:42,R_3kFffLTktKP2reh,,,,,40.51409912,-112.0329971,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,2,2,3,2,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,3,4,2,4,3,,,,,,,,,,,,,,,,,,,,,,2,3,2,3,2,styles were the same in both. ,No,No,Absolutely,,
6/13/18 16:36,6/13/18 16:43,IP Address,73.228.97.33,100,415,TRUE,6/13/18 16:43,R_dbcfcIr4pvvYrHr,,,,,40.20899963,-111.473999,anonymous,EN,,,,,,,,2,3,2,3,4,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,2,3,2,,,,,,,,3,4,1,3,5,Creativity is the ability to create new things. Pop* can clearly create new things. ,No,No,Absolutely,,
6/13/18 16:39,6/13/18 16:46,IP Address,66.87.127.78,100,435,TRUE,6/13/18 16:46,R_1KoS03SumdT96vO,,,,,40.75979614,-111.8626022,social,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,4,3,4,3,4,,,,,,,,,,,,,,,4,3,4,4,4,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,4,5,To put together lyrics to match the music and  the theme takes a lot of creativity. ,No,Yes,Not sure,,
6/13/18 16:37,6/13/18 16:46,IP Address,70.103.180.85,100,557,TRUE,6/13/18 16:46,R_3frdyxcVwMmsAg1,,,,,40.31430054,-111.7116013,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,5,4,4,1,5,,,,,,,,,,,,,,,3,2,4,3,3,4,5,,,,,,,,,,,,,,,4,4,3,2,5,,Yes,No,Absolutely,,
6/13/18 16:43,6/13/18 16:51,IP Address,107.188.134.62,100,473,TRUE,6/13/18 16:51,R_2X1CRLTuUUq7Qzy,,,,,40.21809387,-111.6132965,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,3,2,4,3,2,2,1,,,,,,,,,,,,,,,3,1,3,3,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,4,1,3,The two sample outcomes of music that I hear in the two previous screens did not strike me as very original and creative.  Sorry.,No,Yes,Absolutely,I am sorry I am not too enthusiastic about what I am seeing here.  ,Unknown
6/13/18 16:49,6/13/18 16:53,IP Address,128.187.83.255,100,277,TRUE,6/13/18 16:53,R_10UdPrU3yEyCL8D,,,,,40.35629272,-111.7324982,anonymous,EN,,,,,,,,,,,,,,,2,3,3,2,3,4,1,,,,,,,,2,1,3,3,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,3,2,3,Not sure how much it extends the composition from prior art it sources from.,No,No,Not sure,,
6/13/18 16:53,6/13/18 17:04,IP Address,129.10.8.19,100,637,TRUE,6/13/18 17:04,R_3fcRLMmT3QCajKo,,,,,42.34240723,-71.08779907,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,4,4,3,4,,,,,,,,,,,,,,,,,,,,,,3,2,4,4,4,2,3,,,,,,,,,,,,,,,4,3,3,4,4,,No,Yes,Absolutely,,
6/13/18 17:03,6/13/18 17:09,IP Address,128.187.112.1,100,350,TRUE,6/13/18 17:09,R_2q41F0j2yYCGLVx,,,,,40.35629272,-111.7324982,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,2,1,4,3,3,2,3,,,,,,,,,,,,,,,,,,,,,,2,1,3,2,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,2,2,2,"Both clips I got were really similar. The lyrics, while unique and related to the topic, do not make grammatical sense. The music was too simple and repetitive to be enjoyable.",Yes,No,Not sure,,
6/13/18 17:08,6/13/18 17:12,IP Address,67.148.246.252,100,236,TRUE,6/13/18 17:12,R_1g6jG9vgjMxRs0P,,,,,40.39300537,-111.7837982,anonymous,EN,3,3,4,3,3,5,4,,,,,,,,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,5,4,5,,Yes,Yes,Not sure,,
6/13/18 17:08,6/13/18 17:14,IP Address,75.174.1.236,100,363,TRUE,6/13/18 17:14,R_1ib7GDmAzjENMdi,,,,,43.60560608,-116.5415039,anonymous,EN,3,2,3,3,2,5,3,,,,,,,,,,,,,,,4,2,3,4,5,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,4,4,5,,No,Yes,Absolutely,,
6/13/18 17:05,6/13/18 17:15,IP Address,128.187.112.14,100,541,TRUE,6/13/18 17:15,R_ukRUf2QC8P0HQpX,,,,,40.35629272,-111.7324982,anonymous,EN,,,,,,,,,,,,,,,4,4,4,4,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4,3,,,,,,,,,,,,,,,3,3,4,3,4,"It seems to capture an emotion fairly well, but may lack the nuanced irony or paradoxes that are sometimes expressed in humanly-composed music.  The harmonies did that in a few places, though, and sometimes the lyrics put things or concepts together in interesting ways.",Yes,Yes,Not sure,,
6/13/18 17:11,6/13/18 17:15,IP Address,75.169.43.166,100,251,TRUE,6/13/18 17:15,R_2SuiWlsyiAImbdn,,,,,40.60920715,-111.881897,social,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,5,4,4,3,4,,,,,,,,4,2,4,4,4,3,4,,,,,,,,,,,,,,,,,,,,,,4,3,3,3,3,Great music. Lyrics didn't always make sense.,No,Yes,Not sure,,
6/13/18 17:05,6/13/18 17:15,IP Address,72.192.216.87,100,621,TRUE,6/13/18 17:15,R_1reMZ4Bcxa4asOm,,,,,38.83569336,-77.33750153,social,EN,4,2,5,4,3,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,5,4,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,3,4,5,I believe Pop* is very creative because it is able to create songs based off of lots of different information and still make it sound appealing and applicable.,No,Yes,Not sure,"Good work, you should be very proud of yourselves! What an accomplishment! ",Unknown
